Country,Theme,ProjectTitle,ProjectUrl,ProjectDescription
Albania,environment_and_energy,The Country Program of Albania under the Global Solar Water Heating Market Transformation and Strengthening Initiative,/content/albania/en/home/operations/projects/environment_and_energy/the-country-program-of-albania-under-the-global-solar-water-heat.html,"The initial idea of the project came from the National Energy Strategy and the previous climate change studies such as the Albania’s First National Communication and Technology Needs Assessment, which do promote and recommend Solar Water Heating (SWH) as one of the promising technologies to reduce electricity and fuel wood consumption with a significant contribution towards greenhouse gas emission reduction"
Albania,environment_and_energy,Third National Communication of Albania to the United Nations Framework Convention on Climate Change ,/content/albania/en/home/operations/projects/environment_and_energy/third-national-communication-of-albania-to-the-united-nations-fr.html,Albania has ratified both the United Nations Framework Convention on Climate Change (UNFCCC) and its Kyoto Protocol with the status of a Non-Annex 1 Party.
Albania,environment_and_energy,Art Gold 2 Albania Programme ,/content/albania/en/home/operations/projects/environment_and_energy/art-gold-2-albania-programme-.html,"Since Albania embarked in a process of real decentralization of power and local governance, around two decades ago, progress has been made in several aspects regarding the transfer of various competencies and assets to decentralised government bodies and building their governance capacities for managing their tasks, shared functions as well as promoting increased participation in decision-making. "
Albania,environment_and_energy,Integrated Support to Decentralization ,/content/albania/en/home/operations/projects/environment_and_energy/integrated-support-to-decentralization-.html,"Regional development gained Government attention mostly from 2006 onward.However,  some attempts  were marked in this regard in previous years. In 2006 and 2007 the Government made a significant step in introducing a Crosscutting Strategy for Regional Development (CSRD) as part of the Government’s overall National Strategy for Development and Integration (NSDI). "
Albania,environment_and_energy,Support to Territorial and Administrative Reform,/content/albania/en/home/operations/projects/environment_and_energy/support-to-territorial-and-administrative-reform.html,The Government of Albania is committed to undertake a comprehensive administrative and territorial reform ahead of the local elections scheduled for mid-2015. The relatively high number and small size of most local government units in a country with a relatively small area coupled with concerns of efficiency and quality of service provision has increasingly been considered as a serious obstacle to local governance and development. 
Angola,poverty_reduction, Reducing burden of HIV/AIDS in Angola ,/content/angola/en/home/operations/projects/poverty_reduction/hiv-angola.html,"The goal of the HIV/AIDS component is to prevent HIV transmission and reduce socio-economic impact of the HIV epidemic in Angola through the implementation of a multi-sectoral approach that extends existing efforts in HIV prevention, treatment and surveillance while increasing institutional capacity."
Angola,poverty_reduction,Growing Sustainable Business (GSB),/content/angola/en/home/operations/projects/poverty_reduction/growing-sustainable-business--gsb-.html,"The Growing Sustainable Business (GSB) is a poverty reduction initiative developed by the UNDP's private sector and supported by the Spanish Development Agency - AECID in close partnership with the Angola Government´s key related Ministries, Financial Institutions, Private Sector and Civil Society Organizations. The project focus on the pro-poor sector, market-placing entrepreneurs to a firm growth of partnerships with the public and private sectors. GSB will improve investment strategy for both poor and industry."
Angola,poverty_reduction,Angola enterprise Programme,/content/angola/en/home/operations/projects/poverty_reduction/AEP.html,"Angola Enterprise Programme (AEP) is a Public-Private Partnership that seeks the cooperation and support of various organizations from the Government, donors, the private sector, academia, NGOs and civil society organizations to promote a vibrant Angolan private enterprise sector."
Angola,democratic_governance,Promoting Angolan Women´s Empowerment through CSOs,/content/angola/en/home/operations/projects/democratic_governance/angolan-women.html,"This project intends to capitalize on such positive trends by providing grants to women´s groups to enable them to strategically implement policies and programmes that enhance the achievement of gender equity and goals in political participation and decision-making, economic and social empowerment, and combating violence against women."
Angola,democratic_governance,Decentralization and Local Governance ,/content/angola/en/home/operations/projects/democratic_governance/dlg.html,"The fundamental focus of the Project is to strengthen the capacity of Municipal Administration in the 15 Municipalities under the Project and to empower the communities in these Municipalities for greater control on decision-making and resource allocation processes, and allowing their direct participation in public service delivery and local development for poverty reduction."
Angola,crisis_prevention_and_recovery,Support to National Intersectoral Commission for Humanitarian Demining and Assistance (CNIDAH),/content/angola/en/home/operations/projects/crisis_prevention_and_recovery/cnidah-project.html,
Angola,crisis_prevention_and_recovery, Preparatory Assistance to Disaster Risk Reduction Component,/content/angola/en/home/operations/projects/crisis_prevention_and_recovery/drr-project.html,"This project supports the design and development of a broader UNDP Disaster Risk Reduction programme to improve the country’s implementation of the Hyogo Framework for Action, particularly in enhancing the capacity to prepare for and respond to natural hazards. "
Angola,environment_and_energy, Sustainable Land Management Capacity Building in Angola ,/content/angola/en/home/operations/projects/environment_and_energy/slm-project.html,"The overall objective of this project is the improved capacity in Sustainable Land Management in order to contribute to ecosystem health and functionality while at the same time enhancing the livelihoods of the rural populations in the province of Huambo, the province most affected by land degradation."
Angola,environment_and_energy, National Biodiversity Project: Conservation of Iona National Park,/content/angola/en/home/operations/projects/environment_and_energy/iona-park.html,"The project goal is to establish and effectively manage a network of protected areas to conserve representative samples of Angola’s globally unique biodiversity. The project objective is to catalyse an improvement in the overall management of the protected areas network, through rehabilitating Iona National Park."
Armenia,poverty_reduction,Community Development,/content/armenia/en/home/operations/projects/poverty_reduction/community-development.html,"UNDP addresses community issues and disparities between the regions of Armenia through supporting agricultural and small businesses in vulnerable communities to promote economic revitalization and improve the living standards of the population; supporting the Ministry of Territorial Administration in Strategic Policy Development and Decentralization; promoting cross border cooperation between bordering regions of Armenia through encouraging and supporting trade and economic cooperation; and making efforts to regenerate the urban environment in the cities, making them a more attractive place to live, visit and work.\n\n"
Armenia,poverty_reduction,Vocational Education and Training,/content/armenia/en/home/operations/projects/poverty_reduction/vocational-education-and-training.html,"In recent years UNDP has supported ongoing reforms related to vocational education in Armenia by providing  high-level policy advise to improve legal environment in employment, continuous education, as well as vocational education and training sectors.  \n"
Armenia,poverty_reduction,Support to SME Development in Armenia,/content/armenia/en/home/operations/projects/poverty_reduction/support-to-sme-development-in-armenia.html,"Considering the role and strategic importance of the SME sector for the country’s economic development, in 2002 the Government of Armenia established the “Small and Medium Entrepreneurship Development National Center of Armenia” (SME DNC). Since 2004, UNDP implements a joint project with SME DNC to support SME development in Armenia.  "
Armenia,poverty_reduction,"Aid for Trade for Central Asia, South Caucasus, and Western CIS (Armenia)",/content/armenia/en/home/operations/projects/poverty_reduction/aid-for-trade-for-central-asia--south-caucasus--and-western-cis-.html,"Aid For Trade project is implemented in Tavush region of Armenia as it has a strategic and pivotal significance for Armenia for freight traffic to Russia and other CIS countries, as well as to Europe and Turkey through Georgia. "
Armenia,poverty_reduction,Global Compact in Armenia ,/content/armenia/en/home/operations/projects/poverty_reduction/global-compact-in-armenia-.html,"In partnership with the private sector and municipalities, the Global Compact in Armenia is bringing together local authorities with private companies to set up plastic waste recycling programmes.\n"
Armenia,poverty_reduction,Agricultural Census,/content/armenia/en/home/operations/projects/poverty_reduction/agricultural-census.html,"Agriculture is one of the most important sectors of economy of the Republic of Armenia. The share of the value added of agriculture in total GDP varied between 16 and 20 percent during the recent years, and the number of the persons employed in this sector is about 492,000 (of which 56.2 percent are female and 43.8 percent are male) and accounts for about 45 percent of the total employed population."
Armenia,democratic_governance,Rapid regulatory reform of government services  (The Guillotine),/content/armenia/en/home/operations/projects/democratic_governance/rapid-regulatory-reform-of-government-services---the-guillotine-.html,"Many regulations in Armenia have been upgraded over the years, and there is consensus that many of them meet international best practices. \nYet, un-reviewed and un-modernized regulations impede investment and overall development.\n"
Armenia,democratic_governance,Youth Studies Center ,/content/armenia/en/home/operations/projects/democratic_governance/youth-studies-center-.html,"UNDP assistance is focused on supporting the establishment of the Youth Studies Center and promoting evidence-based approach to research, policy formulation and implementation.\n\n"
Armenia,democratic_governance,Women in local democracy,/content/armenia/en/home/operations/projects/democratic_governance/women-in-local-democracy.html,"Since its independence in 1991, Armenia has ratified over 50 Conventions and other international legal instruments reaffirming its commitment, among others, to equality between women and men, including equal representation of women in decision-making processes. \nPolicy changes, however, are slow to translate into the day-to-day experiences of most Armenian citizens. Consequently, the level of women’s representation and meaningful participation in governance and decision-making continues to be low. \n"
Armenia,democratic_governance,European Union Advisory Group to the Republic of Armenia,/content/armenia/en/home/operations/projects/democratic_governance/european-union-advisory-group-to-the-republic-of-armenia.html,"The European Union Advisory Group will assist Armenian authorities in the preparation to negotiate, conclude and implement the Association Agreement, including the free trade agreement."
Armenia,democratic_governance,Enhancement of Border Management Capacities of Bavra-Ninotsminda BCPs between Armenia and Georgia,/content/armenia/en/home/operations/projects/democratic_governance/enhancement-of-border-management-capacities-of-bavra-ninotsminda.html,UNDP supports in introducing the European standards of Integrated Border Management at the Bavra-Ninotsminda Border Crossing Point on the Armenia-Georgia border with the ultimate goal to facilitate trade and transit and enhance the movement of people across the border.
Armenia,democratic_governance,"Modernization of Bagratashen, Bavra, Gogavan Border Crossing Points of the Republic of Armenia",/content/armenia/en/home/operations/projects/democratic_governance/modernization-of-bagratashen--bavra--gogavan-border-crossing-poi.html,"UNDP’s role as an implementing partner is to assist the Government of Armenia in modernisation of Bagratashen, Bavra and Gogavan border crossing points (BCPs) of Armenia for aligning them to the IBM international standards aimed at the facilitation of the movement of people and goods across the border.\n"
Armenia,environment_and_energy,Disaster Risk Reduction and Prevention,/content/armenia/en/home/operations/projects/environment_and_energy/disaster-risk-reduction-and-prevention.html,"Lessons from a devastating earthquake in 1988 forced national authorities to reconsider its response to natural disasters in order to reduce related risks for people in Armenia. One of the 60 most disaster-prone countries in the world, Armenia faces a heightened risk of catastrophes including earthquakes, drought and flooding. "
Armenia,environment_and_energy,Adaptation to Climate Change Impacts in Mountain Forest Ecosystems of Armenia,/content/armenia/en/home/operations/projects/environment_and_energy/adaptation-to-climate-change-impacts-in-mountain-forest-ecosyste.html,"Armenia’s forest ecosystems have been identified as a global conservation priority. It has been listed by WWF as a Global 200 Ecoregion, and by Conservation International as a biodiversity hotspot. "
Armenia,environment_and_energy,Catalyzing Financial Sustainability of Armenia’s Protected Areas System ,/content/armenia/en/home/operations/projects/environment_and_energy/catalyzing-financial-sustainability-of-armenias-protected-areas-.html,"Armenia is a developing country where protected area (PA) management is viewed as a fundamental government function. The basic PA legislation is in place, but funds are scarce. The main part of the project is the co-financing of the emerging Caucasus Protected Area Fund (CPAF), currently the Caucasus Nature Fund. The philosophy underpinning the CPAF is that the best way to support the PA system and the bio-diversity it supports is to strengthen the government in its park protection and management functions. "
Armenia,environment_and_energy,Developing the Protected Area System of Armenia,/content/armenia/en/home/operations/projects/environment_and_energy/developing-the-protected-area-system-of-armenia.html,Armenia is part of WWF’s “Global 200” and “Caucasus Hotspot”. The National Protected Area System was established in 1958 to protect high number of flora and fauna diversity. 
Armenia,environment_and_energy,Economic valuation of ecosystem services,/content/armenia/en/home/operations/projects/environment_and_energy/economic-valuation-of-ecosystem-services.html,"The overall objective of the project is to equip decision makers and other stakeholders with tools and evidence demonstrating how to incorporate an Ecosystem Services (ES) approach into existing decision-making processes, plans and budgets linking poverty reduction and environmental sustainability. The project builds on the Millennium Ecosystem Assessment approach that expands the focus beyond how development affects ecosystems to include how development depends on ecosystems. "
Armenia,environment_and_energy,Elimination of Obsolete Pesticide Stockpiles and Addressing POPs Contaminated Sites ,/content/armenia/en/home/operations/projects/environment_and_energy/elimination-of-obsolete-pesticide-stockpiles-and-addressing-pops.html,"Armenia still suffers from the legacy of a centralized command economy. In the late 1970s and early 1980s, an Union-wide program was initiated to collect the accumulated banned and expired pesticides from the distribution system and dispose them in landfills or burial sites. In 1990, it was estimated that 600 storehouses existed in Armenia. "
Armenia,environment_and_energy,Preparation of Armenia’s Third National Communication to the UNFCCC ,/content/armenia/en/home/operations/projects/environment_and_energy/preparation-of-armenias-third-national-communication-to-the-unfc.html,"This nationally executed project aims to respond to the objectives of the UN Framework Convention on Climate Change (UNFCCC) in accordance with its commitments as a Party to the Convention. It will enable Armenia to present the updated information on Convention implementation in a consistent, transparent and comparable manner. "
Armenia,environment_and_energy,Green Urban Lighting,/content/armenia/en/home/operations/projects/environment_and_energy/green-urban-lighting.html,"Urban lighting costs of Armenian municipalities account for more than USD 5 million per annum (power costs and maintenance). The capital city of Yerevan has the largest energy consumption and saving potential in its lighting sector: it accounts for 90 percent of all urban lighting energy use in the country and consume about 56,000 MWh/year."
Armenia,environment_and_energy,Improving Energy Efficiency in Buildings ,/content/armenia/en/home/operations/projects/environment_and_energy/improving-energy-efficiency-in-buildings-.html,"The objective of the project is to reverse the existing trends and reduce consumption of electrical and thermal energy and associated greenhouse gas emissions in new, restored and primarily residential buildings in Armenia. "
Armenia,environment_and_energy,Lake Sevan Coastal Zone Cleaning,/content/armenia/en/home/operations/projects/environment_and_energy/lake-sevan-coastal-zone-cleaning.html,"The Government of Armenia continues to take a number of measures to preserve ecosystems of Lake Sevan and its water collection pond, restore ecological balance of the lake and ensure proper and balanced development of biodiversity and sustainable use of natural resources. "
Armenia,environment_and_energy,Ozone Layer Protection ,/content/armenia/en/home/operations/projects/environment_and_energy/ozone-layer-protection-.html,"In 2009 the current national consumption of ozone depleting hydrochlorofluorocarbons (HCFCs) in Armenia was estimated to be about 131 tons. 98 tons of HCFCs were used for refrigeration servicing purposes, 25.5 tons for refrigeration commercial equipment manufacturing and 7.5 tons for manufacturing of foam applications – commercial refrigeration/panels. In total, the ozone depleting potential (ODP) for the HCFCs used in the country was calculated to be 7.83.   "
Armenia,environment_and_energy,Clima East Pilot Project ,/content/armenia/en/home/operations/projects/environment_and_energy/clima-east-pilot-project-.html,"The mountain forest and rangeland ecosystems are an important productive asset for Armenia’s population 50 percent of which lives in rural communities, thus depending on ecosystem goods and services. The latter ensure population well-being and economic development, including agriculture (23 percent of GDP). However, high level of rural poverty rate, poor economic conditions and destruction of infrastructures, along with weak institutional and management capacities in governing structures create cumulative negative impact resulting in degradation of ecosystems, including the loss of vulnerable habitats and species, reduction of ecological functionality and the growing insecurity of ecosystem services. "
Armenia,environment_and_energy,Mitigation of Climate Change Risks of Rural Communities through Improved Local Development Planning,/content/armenia/en/home/operations/projects/environment_and_energy/mitigation-of-climate-change-risks-of-rural-communities-through-.html,"Armenia is one of the countries at risk of climate change impact and seriously suffers from natural disasters like earthquakes, landslides, mudflows, floods, hail, drought, and soil erosion. The recognition of the climate change risks and considering the strategies aimed at minimizing negative impacts on communities and economies fields, particularly in agriculture is of great importance for Armenia."
Armenia,environment_and_energy,Armenia’s First Biennial Update Report 2014 to the UNFCCC,/content/armenia/en/home/operations/projects/environment_and_energy/armenia_s-first-biennial-update-report-2014-to-the-unfccc.html,"Armenia’s First Biennial Update Report 2014 to the UNFCCC will build on the findings and recommendations of Third National Communication. It will update national greenhouse gas inventory, provide information on progress in GHG mitigation policies and actions and identify needs, as well as provide recommendation for addressing the needs.  "
Armenia,environment_and_energy,The Global Environment Facility’s Small Grants Programme ,/content/armenia/en/home/operations/projects/environment_and_energy/the-global-environment-facilitys-small-grants-programme-.html,"In Armenia, biodiversity conservation is applied mostly in Specially Protected Areas, which constitute about 10 percent of the territory and 60 percent of biodiversity species. More than 80 percent of lands are exposed to degradation, including contamination by chemicals and heavy metals. Despite the high cost of energy carriers in the country, the great potential of solar energy is not adequately utilized. "
Azerbaijan,democratic_governance,Establishing State Register of Population,/content/azerbaijan/en/home/operations/projects/democratic_governance/Establishment_and_Development_of_the_State_Register_of_Population_of_the_Republic_of_Azerbaijan.html,"Main goal of the project is to establish a single, reliable and comprehensive database on the population of Azerbaijan. The database will ease the registration of the civil status acts and issuance of certificates and national citizens documents. "
Azerbaijan,democratic_governance,Support to State Social Protection Fund,/content/azerbaijan/en/home/operations/projects/democratic_governance/Capacity_building_for_the_State_Social_Protection_Fund_of_the_Republic_of_Azerbaijan.html,"The Project aims to increase the managerial and technological capacity of SSPF, improve efficiency of the social insurance and pension provision systems in Azerbaijan through automation of main operational processes and data exchange procedures and development of efficient communication between SSPF headquarters and local and regional branches. "
Azerbaijan,democratic_governance,Internet Governance Forum 2012,/content/azerbaijan/en/home/operations/projects/democratic_governance/Establishment_of_the_Internet_Governance_Forum_Secretariat.html,The main project goals are establishment of the Internet Governance Forum (IGF) 2012 Secretariat with the relevant capacity to oversee all organizational issues and successful management of the IGF 2012 in Baku.
Azerbaijan,democratic_governance,Capacity Building for the Ministry of Foreign Affairs,/content/azerbaijan/en/home/operations/projects/democratic_governance/national-capacity-building-programme-for-the-ministry-of-foreign.html,Project aims to increase the efficiency and transparency of MFA operations through the application of ICT tools and support to the roll-out of new communication systems to Azerbaijan’s embassies. 
Azerbaijan,democratic_governance,Enhancing the professional and operational capacities of ASAN Service,/content/azerbaijan/en/home/operations/projects/democratic_governance/capacity_building_ASAN.html,"On 13 July 2013, the President of the Republic of Azerbaijan issued a Decree (No. 685) to create a State Agency for Public Service and Social Innovations. This decision was followed by a Decree of 5 September 2012 (No. 706) that specified the Agency’s structure and Statute. "
Azerbaijan,democratic_governance,State Register of Invalid Document,/content/azerbaijan/en/home/operations/projects/democratic_governance/register_invalid_docs.html,"The project jointly implemented by United Nations Development Programme (UNDP) and Ministry of Justice (MOJ) of the Republic of Azerbaijan aims, in compliance with leading international experience and using modern information and communication technologies, to establish a single state information database of invalid documents and templates of such documents, that were originally handed by the relevant agencies of the Republic of Azerbaijan to its citizens, as well as to foreigners and persons without citizenship."
Azerbaijan,democratic_governance,South Caucasus Integrated Border Management,/content/azerbaijan/en/home/operations/projects/democratic_governance/Integrated_Border_Management_in_Southern_Caucasus.html,Project aims to enhance strategic border management capacities; develop and establish IBM-related procedures and operations including Border Check Points (BCPs); assess the benefits of IBM approach through pilot activities; provide technical assistance to pilot BCPs and other IBM-related units. 
Azerbaijan,democratic_governance,Modernization of customs services,/content/azerbaijan/en/home/operations/projects/democratic_governance/customs-modernization.html,"Project goal is to support the modernization of the customs service in Azerbaijan through infrastructure development, automation of the processes, and personnel training. The project  facilitates the establishment of the Target Centre at the Head Department of Air Transport; use of new technologies and operation management by the customs personnel; and application of best practices in the target definition field."
Azerbaijan,democratic_governance,Good Governance through Civil Service Reform,/content/azerbaijan/en/home/operations/projects/democratic_governance/Civil_Service.html,The project goal is to strengthen the human resources capacity of the Civil Service Commission under the President of the Republic of Azerbaijan and develop the competence of civil servants at central and local levels for implementation of the new performance appraisal system and code of ethics. 
