project_id,open_project_id,project_title,project_objective,scale,country,region,undp_role_type,thematic_focus,ssc_description,territorial_focus,partner_type,project_link,edit_link
"00041363",00041363,"Support Activities for the preparation of Cuba's Second National Communication (SNC) to UNFCCC","Support activities to prepare the Second National Communication of Cuba under the UNFCCC United Nations Climate Change.","country-country","CUB","lac","knowledge_broker","resilience_building","UNDP supported knowledge transfer (Argentina-Cuba). A Cuban expert participated in a workshop about the implementation of the “LEAP model” organized by the Bariloche Foundation in Argentina. As a result, the first Numerical Model of Weather and Climate in Cuba (“Modelación Numérica del Tiempo y el Clima en Cuba”) was organized.","sids","cso|academia","http://open.undp.org/#project/00041363","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00041363.txt"
"00043827",00043827,"Mainstreaming and sustaining Biodiversity Conservation in three Productive Sectors of the Sabana Camagüey Ecosystem","","country-country","CUB","lac","knowledge_broker","resilience_building","UNDP Regional Centre provides avisory support to systematization of experiences within the framework of the initiative of the Sabana Camaguey Ecosystem for its replication in Cuba and other countries in the LAC region.  ","sids","international_cooperation_development_agencies|national_governments","http://open.undp.org/#project/00043827","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00043827.txt"
"00044557",00044557,"Support to territorial networks for local governance and development (ART GOLD)","To strengthen national and local capacities for budgetary and fiscal policies for the poor, and develop them in line with the PRSP and MDGs","country-country","GAB","africa","knowledge_broker|facilitator_of_partnerships","inclusive_and_effective_democratic_governance","UNDP facilitates partnership and dialogue among territories, promotes South South and triangular cooperation for introducing mechanisms of aid efficiency. As a result, international and decentralized cooperation, South South Cooperation will be advanced through- identification of national and international partners; organizing exchange visits and sharing of experience; signing of partnership agreements with international cooperation structures.","mic","national_governments","http://open.undp.org/#project/00044557","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00044557.txt"
"00045017",00045017,"Mainstreaming Prevention and Control Measures for Invasive Alien Species into Trade, Transport and Travel across the Production Landscape","To implement components of the Environmental Management Plan of Seychelles (EMPS) pertaining to the conservation of biodiversity, designed to better nest conservation into the development plans and practices of the economy's production sectors.","country-country","SYC","africa","knowledge_broker","sustainable_development_pathways","The approach used to address the invasive alien species issue will generate knowledge and best practices that can be replicated in other countries, especially SIDS that are undergoing similar threats. UNDP will facilitate this process.","sids","national_governments|cso","http://open.undp.org/#project/00045017","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00045017.txt"
"00045776",00045776,"The Regional Water Partnership Initiative 'Every Drop Counts'","To provide the framework and a joint action plan for water-related programming in the countries of Europe and the CIS, with a particular focus on increased access to safe drinking water, facilitating the use of environmentally sound industrial technologies, and outreach and awareness raising activities to promote responsible water resource management.  This Regional Public-Private Sector Partnership Initiative will initially focus on countries including Albania, Armenia, Azerbaijan, Bosnia and Herzegovina, Bulgaria, Croatia, Georgia, Kazakhstan, Kyrgyzstan, FYR of Macedonia, Moldova, Montenegro, Romania, Serbia, Tajikistan, Turkey, Turkmenistan and Uzbekistan as well as Russia, Ukraine and Belarus, that fall under the coverage area of UNDP-RBEC as well as Coca-Cola EMED.","country-country","TUR","europe_cis","knowledge_broker","resilience_building","UNDP will help facilitate information exchange between the countries involved in the project and help them come up with sustainable harmonized solutions to address water challenges within their countries. ","mic","private_sector","http://open.undp.org/#project/00045776","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00045776.txt"
"00046143",00046143,"Strengthening governance systems in spatial planning to address uncontrolled building and implementation of the new planning legislation","To secure capacity for efficient implementation of the Law on spatial planning and construction, and ensuring sustainable planning practices in the northern Montenegro. This is to be achieved through three activities- 1 Sustainable spatial planning and development in Municipalities in Northern Montenegro 2 Efficient implementation of the spatial planning legislation and active participation of civil society 3. Ministry of Sustainable Development and Tourism is capacitated to implement the Strategy on Formalization of Informal Settlements, employing innovative climate change mitigation and adaptation measures in order to increase a stock of legalized objects and increase revenues from this source to local and central budget and decrease energy consumption on a household level","country-country","MNE","europe_cis","knowledge_broker","inclusive_and_effective_democratic_governance","In this programme, UNDP will facilitate study tours to other countries in the  region which worked on similar issues. The study tours aim to increase the urban planning capacity of municipalities officials and representatives from the Ministry of Economic Development and NGOs.  The delegations will be exposed to best practices and innovative ideas that were used to solve similar urban planning issues in those selected countries. ","mic","national_governments|cso|academia","http://open.undp.org/#project/00046143","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00046143.txt"
"00046338",00046338,"The Greater Tumen Initiative (GTI)","GTI is an intergovernmental cooperation mechanism among China, Mongolia, Republic of Korea and the Russian Federation, supported by UNDP.","country-country","CHN","asia_pacific","facilitator_of_partnerships","sustainable_development_pathways","UNDP facilitated partnership between China, Mongolia, Republic of Korea and the Russian Federation. At the 14th meeting of the GTI Consultative Commission held in October 2013 in Mongolia, the delegates reaffirmed the importance of GTI in building a regional partnership for common prosperity, and laid down a strategy for transforming the initiative into an independent entity by 2016. The meeting also reviewed GTI progress in areas of strategic importance – transport, trade and investment, tourism, energy and environment – and approved several new projects to advance regional connectivity. ","mic","national_governments","http://open.undp.org/#project/00046338","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00046338.txt"
"00046916",00046916,"Support for the Realisation CAP UNDAF 2012-2016 (Appui à la Realisation du CAP UNDAF 2012-2016)","Reinforcement of cooperation programmes of UNDP in Morocco. to promote and reinforce Morocco's participation in the internationla networks of cooperation and development.","country-country","MAR","arab_states","builder_of_capacities","sustainable_development_pathways","UNDP provides technical assistance  to capacity building and knowledge exchange, supporting Ministry of Foreign Affairs and Cooperation (Directorate of Multilateral Cooperation) effort to engage more actively in multilateral cooperation. Morocco's participation in internationlal cooperation networks was promoted and reinforced. To this end, participation of Morocco's delegation from the Ministry of Foreign Affairs and Cooperation (Directorate of Multilateral Cooperation) in South-South conferences was supported by UNDP. ","mic","national_governments","http://open.undp.org/#project/00046916","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00046916.txt"
"00047179",00047179,"UN Coordination Programme in the Maldives","To enhance the strategic positioning of the UN system in supporting the country achieve its national development objectives and meets is international development and human rights objectives. It also aims to promote greater coherence, relevance, effectiveness and efficiency in the UN system's development assistance. This project includes support to national development planning, monitoring achievement of the Millennium Development Goal, aid effectiveness, UN Common Programming, gender and human rights mainstreaming, and implementation of harmonized business processes and common services.","country-country","MDV","asia_pacific","knowledge_broker|facilitator_of_partnerships","","UNDP supports the project's endeavour to build strategic partnerships with key donors and ensure better utilization of overseas development assistance to better support achievement of MDG's in the country. UNDP plays a role in bringing together key donors and acting as a facilitator between relevant stakeholders.","sids","national_governments","http://open.undp.org/#project/00047179","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00047179.txt"
"00047259",00047259,"Gender Equality Programme","To support the Governmental Office of Gender Equality in the effective implementation of the National Action Plan for Gender Equality. UNDP efforts will be concentrated on advocating for gender legislation, integrating gender equality in the national policy priorities and supporting the formulation and implementation of frameworks enabling more favourable development opportunities for women. In addition, support will be provided for gender-disaggregated data processing to facilitate better policy making.  Main partners will be Office of Gender Equality, parliamentarian Board for gender equality, Ministry of Justice, Ministry of Labour and Social Welfare, NGOs/CSOs etc..","country-country","MNE","europe_cis","knowledge_broker","inclusive_and_effective_democratic_governance","In this programme, UNDP will facilitate the knowledge transfer on Gender Equality Law implementation between gender mechanisms in Bosnia and Herzegovina (BIH) and Montenegro with the aim to further encourage partnership and contribute to alignment and coherence of best practices and lessons learned capitalizing each other's strengths.","mic","national_governments|cso","http://open.undp.org/#project/00047259","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00047259.txt"
"00047585",00047585,"Development and Implementation of a Standards and Labelling Programme In Kenya with Replication in East Africa","To reduce energy (electricity) related CO2 emissions in Kenya and the EAC countries by improving the energy efficiency of selected appliances and equipment in residential, commercial and industrial sectors. All five countries involved (Burundi, Kenya, Rwanda, Tanzania and Uganda) do not have adequate energy to meet their development goals. The introduction and implementation of the initiative will therefore improve energy efficiency,","country-country","KEN","africa","knowledge_broker","sustainable_development_pathways","UNDP will provide technical assistance in removing barriers to market transformation of energy efficient products and services in Kenya and facilitate this project's replication in to 4 other East African Community (EAC) countries of Burundi, Rwanda, Tanzania and Uganda. ","ldc","national_governments","http://open.undp.org/#project/00047585","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00047585.txt"
"00047784",00047784,"Fostering multi-stakeholder partnerships to achieve MDGs  in the Western CIS and Caucasus  in the framework of UN Global Compact","To harness value-creating assets of the private sector for poverty reduction in the Western CIS and Caucasus through promotion of multistakeholder partnerships in the framework of Global Compact.  The target countries include Armenia, Azerbaijan, Georgia, Belarus, Russia, Ukraine and Moldova.","country-country","RUS","europe_cis","knowledge_broker|facilitator_of_partnerships","sustainable_development_pathways","UNDP is a broker in establishing the Global Compact networks, as well as facilitating partnerships and further process. UNDP's support was crucial for the network's start up and building its sustainability. Main activities of UNDP include- seeding the idea of the Global Compact and corporate social responsibility among the business community, involving governments, academia, trade unions and NGO/CSOs, facilitating learning and sharing of experiences about CSR and implementation of the GC principles, building active collaboration between participants, identifying the benefits of GC participation and organizing local GC activities for the network, motivating companies to engage in partnerships in support of UN development goals, organizing promotional and launching GC events. Additionally, UNDP will ensure that risks and benefits shared accordingly between partners and trust and mutual understanding be developed between partners.","hic","regional_inter_governmental_organizations|national_governments|cso|private_sector","http://open.undp.org/#project/00047784","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00047784.txt"
"00047976",00047976,"Support for implementation of the Country Programme 2011-2015","To support the implementation, monitoring and evaluation of the Country Programme signed between the Government, UNDP, and its corresponding Action Plan. Support the strategic positioning and consolidation of the Uruguayan Agency for International Cooperation with their respective products and activities under the document signed between the Chairman of the Board of the Uruguay Agency for International Cooperation and the United Nations System of Uruguay","country-country","URY","lac","builder_of_capacities","sustainable_development_pathways","UNDP provides technical assistance. ","hic","international_cooperation_development_agencies|national_governments","http://open.undp.org/#project/00047976","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00047976.txt"
"00048025",00048025,"Enhancing BIH Environmental Policies planning by introducing and developing local environmental and energy action plans","This programme will support and improve local management of environmental resources and service delivery through improving local level environmental governance and developing replicable models for local level environmental planning. The experiences and knowledge base generated will inform and support national level planning and policy development. This will help secure the achievement of MDGs 1, 6, 7 and 8 in BiH . The proposed programme offers an innovative approach to strengthening the capacities for mainstreaming environment issues into policy planning, resource management and service delivery in BiH, reviving the environment sector which is critically stagnant and threatens to become one of the most serious obstacles on the country's road to European integration. The programme highlights the links between environment and poverty, in a country with a highly inequitable growth pattern, with an approach based on the principles of social inclusion, a cross cutting issue that is a concern of all the UN agencies in the country. Social inclusion sharpens the MDG framework in the context of EU pre-accession countries such as BiH.","country-country","BIH","europe_cis","knowledge_broker","resilience_building","UNDP facilitated the knowledge exchange on environmental management at the local level. With this aim, study trips to Hungary, Slovenia and Estonia were organized. ","fragile_states","international_cooperation_development_agencies|national_governments","http://open.undp.org/#project/00048025","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00048025.txt"
"00048246",00048246,"Community Based Approach to Local Development","To promote sustainable socio-economic development at local level by strengthening participatory governance and encouraging community-based initiatives throughout Ukraine. Specific objectives of the Project are to- promote community based approach to local governanceand sustainable development; enhance energy efficiency at local level; support the creation of the locally owned and managed repository and network of good practices and knowledge on community mobilization and participatory governance.","country-country","UKR","europe_cis","knowledge_broker","sustainable_development_pathways","UNDP facilitated knowledge exchange through study tours- (1) Expert support was provided to UNDP Afghanistan- International Project Manager visited Afghanistan to share Ukraine's experience on community based approach to local development and prepare a project document for cities' development Afghanistan;  (2) CBA project organized and hosted a study visit for UNDP Belarus to share experience and best practice in promoting local development activities in Ukraine. Belarusian delegation included Representatives of Ministry of Economy, Ministry of Emergency, Regional and district authorities and UNDP Belarus; (3) CBA hosted a study visit of the Arminian delegation, including representatives of UNDP Armenia, Ministry of Territorial Administration, Ministry of Labor and Social Affairs, Ministry of Nature Protection and Deputy Governor of Tavush region. The visit was organized with the aim to present Ukraine's experience of community based development with a view of its replication in Armenia.","mic","regional_inter_governmental_organizations|international_cooperation_development_agencies|national_governments","http://open.undp.org/#project/00048246","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00048246.txt"
"00048414",00048414,"Demonstrating and Promoting Best Techniques and Practices for Reducing Health-Care Waste to Avoid Environmental Releases of Dioxins and Mercury","The Project objective is to demonstrate and promote best practices and techniques for health-care waste management","global","ARG|IND|LVA|LBN|PHL|SEN|TZA|VNM","lac","knowledge_broker","resilience_building","UNDP facilitates the dissemination of experiences and lessons learned and promoting information exchange; advancing access to, and the transfer of, clean and environmentally sound alternative technologies; and demonstrating viable and cost-effective alternatives to the processes and practices. ","","international_cooperation_development_agencies|national_governments","http://open.undp.org/#project/00048414","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00048414.txt"
"00048649",00048649,"Strengthening the National Institutional and Educational Capacity to Carry Out Official Development Assistance (ODA) Programmes and Projects (SNIECODA)","To support Romania's efforts to become a lead donor of development assistance in the priority countries and regions of Romania's international development cooperation policy. It will focus on supporting the MFA to further develop its capacity to implement ODA projects and programs by providing a flexible administrative and implementation mechanism for ODA delivery. Since EU accession in 2007, Romania has been expanding its international development cooperation. Legal and policy frameworks for Official Development Assistance (ODA) have been prepared and stipulate coordinating and monitoring role for the Ministry of Foreign Affairs (MFA).","country-country","ROU","europe_cis","builder_of_capacities","sustainable_development_pathways","UNDP will support the Ministry of Foreign Affairs of Romania to develop its capacity to implement ODA-funded projects. The programme is intended to support Romania's efforts to become a lead donor of development assistance in the priority (and in-attention) countries and regions of Romania's international development cooperation policy. UNDP will assist the Government of Romania in providing support in the following projects 1) The Ministry of Environment and Forests (MEF) aims at providing training for specialists from Central Asia on protection and sustainable use of the water resources in trans-boundary areas in view of strengthening of the institutional capacities, the transfer of knowledge and experience and the increase of expertise of the Central Asian Authorities regarding the difficult water management with the neighbouring countries; 2) The Ministry of Environment and Forests (MEF) aims at providing a training program to specialists in Eastern Europe, Caucasus region and Central Asia (EECCA region) on drinking water supply, sewerage, urban waste water treatment and integrated water management by enabling capacity building, transfer of knowledge and experience and the implementation of existing EU principles with regard to the integrated water management; 3)  The General Inspectorate of Romanian Gendarmerie will implement the component called “Modernizing the practices of the Carabineer Troops from the Republic of Moldova in Order and Public Safety Management” aiming to train the Moldovan carabineers (Department of Carabineer Troops (DCT) within the Internal Affairs Ministry of the Republic of Moldova) for enhancing their professional skills, knowledge and practices in accordance with the European and international standards.","mic","national_governments","http://open.undp.org/#project/00048649","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00048649.txt"
"00048997",00048997,"Benguela Current Strategic Action Plan Implementation-The BCLME Programme","To develop a transboundary intergovernmental management process for the Benguela Current Large Marine Ecosystem. The Programme has been highly successful in developing regional partnerships in support of transboundary LME resource management, and in capturing accurate knowledge on ecosystem functions and trends. Also, the activities supported by the BCLME Programme have made a significant contribution to capacity building and knowledge enhancement and successfully captured vital information necessary for an integrated, ecosystem based approach to LME management. Furthermore, regional collaboration at both the public and private sector levels has been significantly strengthened. A GEF co-sponsored initiative of the governments of Angola, Namibia and South Africa.","country-country","NAM","africa","facilitator_of_partnerships","resilience_building","UNDP will facilitate a regional treaty between the 3 countries identifying thematic areas and operational procedures for cooperation in sustainably managing the BCLME's shared living marine resources and mitigating associated threats. This treaty will be administered and supported through a multinational Commission consisting of a Conference of Ministers, an overall management body and a series of management and technical groups supported by the countries and focusing on the priority LME policy actions as identified in the SAP (e.g. harmonised management of living marine resources, environmental variability and prediction, required adaptations to the effects of climate change on the ecosystem and its living resources, etc.).  ","mic","national_governments|private_sector","http://open.undp.org/#project/00048997","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00048997.txt"
"00049239",00049239,"Country Pilot PartnershIp on Sustainable Land Management - Supporting Implementation of the Cuban National Programme to Combat Desertification and Drought","Capacity Building for Planning, Decision Making and Regulatory Systems & Awareness Building / Sustainable Land Management in Severely Degraded Ecosystems","country-country","CUB","lac","knowledge_broker","resilience_building","UNDP facilitated the exchange of knowledge between sustainable land management projects (1) in Cuba and Argentina. As a result, measuring  impacts of  the sustainable land management project was implemented in Patagonia; (2) in Dominican Republic and Cuba. As a result, project on measuring  impacts of  the sustainable land management was implemented in Dominican Republic. ","sids","academia","http://open.undp.org/#project/00049239","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00049239.txt"
"00049286",00049286,"Country Pilot Partnership on Sustainable Land Management - Supporting Implementation of the Cuban National Programme to Combat Desertification and Drought (CPP 5)","Coordination, Monitoring and Evaluation of Cuba Country Pilot Partnership on sustainable Land Management","country-country","CUB","lac","knowledge_broker","resilience_building","UNDP supported capacity building and transfer of knowledge through the following activities- (1) transfer of methodology for measuring carbon from soil crusts,  evaluation methods of biodiversity assessment and living standards of local communities from Argentina to Cuba; (2) exchange of experiences between Cuba and Peru on sustainable land management projects, new ways of introduction of early warning systems against extreme weather events and the ways of extending the results of good sustainable land management  practices in areas outside of the project demonstration sites; (3) counseling and methodology transfer for land degradation and national mapping was organized from Cuba to Honduras.","sids","international_cooperation_development_agencies|national_governments","http://open.undp.org/#project/00049286","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00049286.txt"
"00049738",00049738,"Bridging South-South Cooperation and Emerging Donor Roles- Strengthen Turkey's Participation in international Development Cooperation","To strengthen national capacities for the Government of Turkey as an emerging donor that will cover the Institutional and the technical components by a) capacity development for Turkey's emerging donor role in the international development cooperation arena complemented by b) the development of technical capacities for South-South cooperation modalities","country-country","TUR","europe_cis","builder_of_capacities","sustainable_development_pathways","In this project, UNDP will strengthen national capacities of the Government of Turkey as an emerging donor, through the capacity development of TIKA (the Turkish Agency for Development).  UNDP will promote the leadership of Turkey's emerging donor role within the international development architecture and will contribute to the capacity development of TIKA in preparing and managing Turkey's development assistance programmes, in order to increase the effectiveness of Turkish Official Development Assistance (ODA) in line with the 'Paris Declaration Principles'. ","mic","national_governments","http://open.undp.org/#project/00049738","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00049738.txt"
"00049750",00049750,"Building Capacity to Eliminate POPs (Persistent Organic Pollutants) Pesticides Stockpiles in Vietnam","The project aims to remove capacity barriers to the sustainable elimination of POPs (Persistent Organic Pollutants) Pesticides in Vietnam.","country-country","VNM","asia_pacific","facilitator_of_partnerships","resilience_building","UNDP will help develop capacity to eliminate continued importation needed on both the demand side, to reduce and ultimately eliminate demand for such pesticides, and on the supply side, to eliminate the source of the pesticides. Supply-side management will require bilateral cooperation with neighbouring states, China, Lao PDR and Cambodia. Bilateral task forces between Vietnamese border provinces and their Chinese counterparts (initially with China, and subsequently, if necessary, with Lao PDR and Cambodia) to eliminate illegal importation of POPs pesticides. ","mic","international_cooperation_development_agencies|national_governments","http://open.undp.org/#project/00049750","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00049750.txt"
"00049815",00049815,"Enhanced Capacities of Elected Representaives. International Centre for Human Development (IC4HD)","To help develop capacity of national governments, parliamentarians, CSOs, academia for human development oriented policy making and advocacy. This is expected to deepen the reach of human development paradigm across various actors. South south cooperation will be the preferred modality to achieve this objective.","country-country","IND","asia_pacific","builder_of_capacities","sustainable_development_pathways","UNDP will provide technical assitance for the creation of IC4HD. The Centre will- (1) establish cross country/regional mechanisms whereby practitioners can collaborate and support the adaptation of good practices to local context; (2) provide content and training support on human development to government officials, community leaders, academia, media and parliamentarians through existing institutions; (3) provide a multistakeholder platform for south south cooperation on HD action to foster mutual learning.","mic","academia","http://open.undp.org/#project/00049815","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00049815.txt"
"00050669",00050669,"Strengthening Capacities- Capacity building of the International Cooperation Agency and the National System of Cooperation within the framework of the  National Planning System","To contribute to capacity development of this cooperation agency to count on the  mechanisms, technical and operational means which allow to have a national system of cooperation put in place to support the National Development Plan as part of the Planning System. 6 expected results- 1. Capacity development of intitutions in order to improve the management of cooperation and maintain its alignment with the national planning system; 2. Promote understanding cooperation as a complement to national efforts prioritized in the national planning system with the national pla; 3.Strengthening of coordination between donors; 4. operate to coordinate ongoing process that drives the national govierno in the context of strengthening the national system; 5. Promote the development of South-South initiatives cooperation through the exchange of knowledge and experiences to promote a regional agenda; 6. Articulare with UNV in Ecuador","country-country","ECU","lac","builder_of_capacities","sustainable_development_pathways","UNDP provides technical assistance. ","mic","national_governments","http://open.undp.org/#project/00050669","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/00050669.txt"
